
Epoch [46/100], Main Loss: 0.2314, Aux Loss: 1.5834, Grad Norm: 4.1269, Train Acc: 95.64%, Test Acc: 95.10%
Epoch [47/100], Main Loss: 0.2335, Aux Loss: 1.5631, Grad Norm: 4.1910, Train Acc: 95.09%, Test Acc: 94.90%
Epoch [48/100], Main Loss: 0.2308, Aux Loss: 1.5715, Grad Norm: 4.0713, Train Acc: 95.59%, Test Acc: 95.50%
Epoch [49/100], Main Loss: 0.2309, Aux Loss: 1.5778, Grad Norm: 4.2058, Train Acc: 95.72%, Test Acc: 95.17%
Epoch [50/100], Main Loss: 0.2285, Aux Loss: 1.5877, Grad Norm: 4.1586, Train Acc: 95.82%, Test Acc: 95.89%
Epoch [51/100], Main Loss: 0.2286, Aux Loss: 1.5942, Grad Norm: 4.1331, Train Acc: 96.17%, Test Acc: 95.91%
Epoch [52/100], Main Loss: 0.2280, Aux Loss: 1.5872, Grad Norm: 4.2403, Train Acc: 95.39%, Test Acc: 95.26%
Epoch [53/100], Main Loss: 0.2263, Aux Loss: 1.5972, Grad Norm: 4.0938, Train Acc: 95.92%, Test Acc: 95.87%
Epoch [54/100], Main Loss: 0.2303, Aux Loss: 1.5736, Grad Norm: 4.3189, Train Acc: 95.61%, Test Acc: 95.39%
Epoch [55/100], Main Loss: 0.2311, Aux Loss: 1.5505, Grad Norm: 4.2675, Train Acc: 95.90%, Test Acc: 95.93%
Epoch [56/100], Main Loss: 0.2325, Aux Loss: 1.5286, Grad Norm: 4.3023, Train Acc: 95.37%, Test Acc: 95.01%
Epoch [57/100], Main Loss: 0.2298, Aux Loss: 1.5076, Grad Norm: 4.2817, Train Acc: 95.00%, Test Acc: 95.19%
Epoch [58/100], Main Loss: 0.2324, Aux Loss: 1.5271, Grad Norm: 4.2544, Train Acc: 95.65%, Test Acc: 95.25%
Epoch [59/100], Main Loss: 0.2298, Aux Loss: 1.4850, Grad Norm: 4.3430, Train Acc: 95.41%, Test Acc: 95.14%
Epoch [60/100], Main Loss: 0.2330, Aux Loss: 1.4695, Grad Norm: 4.4267, Train Acc: 95.62%, Test Acc: 95.24%
Epoch [61/100], Main Loss: 0.2339, Aux Loss: 1.4710, Grad Norm: 4.4099, Train Acc: 95.08%, Test Acc: 94.94%
Epoch [62/100], Main Loss: 0.2319, Aux Loss: 1.4638, Grad Norm: 4.4005, Train Acc: 95.73%, Test Acc: 95.50%
Epoch [63/100], Main Loss: 0.2333, Aux Loss: 1.4689, Grad Norm: 4.4674, Train Acc: 95.56%, Test Acc: 95.21%
Epoch [64/100], Main Loss: 0.2345, Aux Loss: 1.4386, Grad Norm: 4.4725, Train Acc: 95.54%, Test Acc: 95.18%
Epoch [65/100], Main Loss: 0.2352, Aux Loss: 1.4506, Grad Norm: 4.5428, Train Acc: 95.85%, Test Acc: 95.82%
Epoch [66/100], Main Loss: 0.2330, Aux Loss: 1.4317, Grad Norm: 4.5051, Train Acc: 95.01%, Test Acc: 94.83%
Epoch [67/100], Main Loss: 0.2361, Aux Loss: 1.4323, Grad Norm: 4.5643, Train Acc: 95.39%, Test Acc: 95.19%
